class,conversation,synthetic
3,저기 기사아저씨 제가 버스에 타야하는데 보시다 시피 휠체어 타고 있어서 리프트 좀 내려주시겠습니까? 아 네네 당연하죠 조금만 기다려 주세요. 이 버스가 낡아서 잘 작동 안 하거든요. 네네 내려주셔서 감사합니다. 아오 진짜 바빠 죽겠는데 여기서 왜 안 움직이는거야. 저기요 아저씨 왜 출발 안 해요? 아 지금 거동 불편하신 분이 휠체어 타고 계셔서 리프트 내려드려야 해요. 아니 다리 못 쓰면 나오지를 말아야지 지금 몇 명한테 피해를 주는거야? 피해드렸다면 죄송합니다. 평소에는 보호자가 있지만 오늘은 다 출근하고 저 혼자라서. 그니까 왜 보호자가 없는 날 나오냐고요. 사람들 피해주고 싶어서 작정했어요? 다른 사람들 다리로 걸어다녀서 심술나요? 왜 이런 날 방해하냐니까요 방해를 할 목적은 아니었으나. 이 리프트가 이렇게 늦게 내려올지는 몰랐어요. 죄송합니다. 근데 저 혹시 이 휠체어 버스에 고정 시키려면 그 의자 접어서 고정 시켜야 하는데 한 번만 더 양해 구해도 될까요? 아 이제 남의 자리까지 뺐겠다? 어쩌피 바퀴인데 차 뒤에 매달던가 트렁크에 넣어버리지 진짜 사람 성가시게 하네 그냥 그 상태로 앉아있으세요. 다리도 못 쓰는데 다쳐봤자 뭐 있겠어요? 진짜 죄송해요. 다음부터 이런 날 안나오도록 노력할게요.,no
4,아 무슨 일이야? 처음 약속했었는데 이제 취소하더라? 그래서 어디 가는지 모르겠어. 응 다른 날 다시 잡아볼까? 그때 괜찮을까? 어떤 날이든 괜찮을 것 같아.,topic
2,야 김대리 너 정신안차리냐? 네? 어떤거요? 네? 어떤거요? 몰라서 묻냐? 정말 모르겠어요. 야 이거 진짜 꼴통새끼네. 허구헌날 연차 쓰니까 일을 못하는거 아니야 급한일이었어요. 야 누구는 안쉬고 싶냐? 야 나도 쉬고싶어 승진하기 싫어? 죄송합니다. 앞으로 생각 잘해서 써라 네 시정하겠습니다.,no
0,너 어디야 너 알바야 장난해 진짜 죽고 싶어 자꾸 전화 하시면 경찰에 신고할거예요 신고해봐 너죽고 나 죽는거야 그래 다 같이 죽자 너 이럴수록 너만 손해야 이래나 저래나 어차피 죽는데 너. 이씨 걍 배째,no
4,오늘 길을 잃었는데 여기서 출구가 어디야? 지도를 확인해보자. 출구는 그 방향이야. 다시 한 번 확인해보면 출구는 바로 앞에 있어.,topic
0,어서 서두르는게 좋은거야 저는 가진게 없어요 그래? 이걸보고도 그런 말이 나와? 엄마!!! 그렇지 이렇게 나와야지 얼마면 되나요 아까 같은 말하면 다시는 부모님 못볼꺼야 네 죄송합니다 얼른 서두르는게 좋을꺼야 빨리 ! 조금만 시간을 더 주세요 흑,no
2,김대리 퇴근하고 이따 시간 좀 되나 네 괜찮습니다. 무슨일로 백화점 가서 과일 바구니랑 선물좀 사서 우리 집에 좀 갖다주게 네? 제가 그걸 왜요? 우리 집사람 생일인데 자네가 좀 도와줘 직접하시면 되지않을까요? 김대리가 그런 심부름 잘 할 거 같은데 좀 부탁해 응? 사적인 일은 좀 곤란한데요 아니 말이야 내가 쑥쓰러워서 그래요 좀 시키면 좀 들어주지 원참 죄송합니다.,no
3,야 이 길동. 네 선배님! 오늘은 왠지 더 커진거 같다? 원래도 어마어마 했지만. 안그러냐? 그러네! 뽕이야? 네? 뭐라고요? 아니 네 키 말이야. 키 얘 다른 생각 했다. 이길동 그렇게 안 봤는데 그게 아니라 누가 들어도 오해할만한 말인거 같은데요. 아 선배가 장난 치는 건데 왜 이렇게 정색해. 우리 길동이 진지충이야? 아 나 진지충이랑 안 노는데.,no
3,넌 얼굴이 왜 그렇게 생겼어? 내 얼굴이 왜? 다운증후군 걸린 애마냥 못생겼잖아 야. 말을 왜 그런식으로 해 난 사실을 말한건데? 기분나빠? 아냐. 야쟤보고 장애인 닮았다니까 기분 나빠한다? 웃긴다 똑같이 생겼는데 그러니까 .,no
0,당장 세금 안내면 이빨 뺀치로 뽑아버리겠어 아 몰라 귀찮아 당신 작년에도 안내고 올해도 안내서 가산금 붙었어 어쩔꺼야 지금 집에 왔는데 어쩌라고 퀴찮아 나 인생에서 그딴거 낸 적 없다 나라에서 내라는 건데 귀찮아도 내야지 얻어맞고싶니? 지금 못내고 나중에라도 내면 될꺼아냐 나중에 언제 계좌번호 찍고 빨리 기한내 안내면 망치로 머리 때린다,no
0,당신이 웬 일로 저녁을 차렸어? 참나 오래 살고 볼 일이네. 어쩌면 이게 마지막 함께 하는 저녁일 수도 있으니까요. 잘 생각했어. 드디어 이혼 해주려는 거야? 무슨 바람인 지 모르겠지만 고마워. 그래요. 당신이 그 여자를 더 사랑하고 소중하다고 하니 나도 비참해서 더는 못 살겠네요. 마음 바뀌기 전에 싸인부터 하지. 그래요. 뭐 마지막 소원이 될 수도 있는데 마지막 소원? 아 하긴 내가 당신한테 이보다 더 바라는 게 없었지. 고맙네. 고마워 그거 알아요 당신? 이거 맛있네. 뭘 아냐는 거야? 복어는 독이 있는 생선이잖아요. 내가 오늘 복어를 어떻게 손질했는지 궁금하지 않아요? 당신. 설마. 지금 ?,no
3,왜 때리는 거야? 야 내가 나랑 똑같은 신발 신고 오지 말랬지? 미안해. 나도 네가 오늘 이걸 신고 올진 몰랐지. 그럼 내가 너한테 매일 아침마다 말해주리? . 앞으로 안 그럴게. 꼭 조심할게. 너 같은 인간이랑 엮인다는 자체가 구역질 나. 나한테 대체 왜 이러는 거야? 거울이라도 보고 와라. 냄새나고 못생긴 놈이 주제 파악도 못 하네. 너 나한테 말이 너무 심한거 같아. 반 회장이면 모든 친구들 다 챙겨주는 역할 아니니? 모든 친구들 다 챙겨주는 역할 맞지 물론. 근데 난 너 같은 친구 둔 적 없어.,no
4,안녕하세요? 혹시 잘못 걸린 통화를 받으셨나요? 정말 당황하셨겠어요. 무슨 일이 있었는지 말씀해 주세요. 통화 중에 누군가가 잘못 걸렸던 것 같아요. 그럼 지금 통화도 끊지 말까요? 언제든지 도움이 필요하시면 말씀해 주세요.,topic
1,야 너 아이폰 13 샀냐? 어. 어. 핸드폰 바꿨어. 야 한 번 보여줘봐 자랑 좀 해봐봐 어여여기 와 좋다 역시 야 나 하루만 빌려주라 어.? 빌려달라구 ? 야 친구끼리 이런 것도 못 빌려주냐 ? 아니 그래도 . 핸드폰은 좀 . 누가 가져간대 ? 그냥 하루 빌려달라고 말 귀 못알아먹어 ? 그. 그래 알겠어 .,no
0,제 남자친구랑 헤어져주세요. 이미 헤어졌는데 왜 그쪽 남자친구죠? 이제 제 남자친구에요 못 헤어지겠다는 건가요? 네. 헤어질 생각없으니 연락하지 말아주세요. 대 영문학과 맞죠? 남의 남자친구 뺏은 파렴치한이라 소문나도 상관없나보네요. 헤어지고 만났고 그딴 헛소문 퍼뜨리면 범죄인 거 모르세요? 헤어지고 만났다고? 나랑 사귈 때 부터 연락안했다고? 만난 적 없다고? 내가 본 게 있는데? 그런 적 없어요 내가 고통받은 것 처럼 너도 고통 받아봐. 학교 앞 카페에서 알바한다며? 곧 보게 되겠네. 찾아오지마세요. 그거 범죄라고요! 신고하던가. 뭘로 신고할건데? 헤어지고 만났다고 했잖아요! 대체 저한테 왜이러세요?,no
3,야! 너 이리 와 봐 초면에 다짜고짜 예의에 밥말아 먹은 행동을 하시네요 뭐라고? 니도 다 무시하냐? 무시하냐고?! 술에 취한 것 같은데 술 취했으면 곱게 가시죠? 뭐! 나 같은 놈이 관심 가져줬는데 별것도 아닌 게 깝치네? 얼굴 좀 반반한 건 인정하는데 이딴 식으로 꼬시는 건 무슨 개매너? 아 존나 까칠한 척 하네 이 미친년이 어디 맞아볼래? 악! 도와주세요!!! 니 같은 년은 맞아야 정신 차려! 제발. 살려주세요!!!,no
3,사장님. 잠깐와보시겠어요 네 손님 무슨일이세요 이거 보이시죠 머리카락 엇 손님 정말죄송해요. 음식값은 안받을게요 지금돈안받는가해서 해결할수 잇는게 아니잖아요 그럼어떡해하면 기분이풀리시겠어요 보상을해주셔야죠 손님 그냥 돈 안받고 끝낼려고 했는데요 안되겟어요 뭐라구요 안되겟구만 신고할게요 손님 다 확인햇어요. 그리고 나온 머리카락 손님꺼던데요,no
0,당장 그년을 찾아 찔러. 안그러면 니 동생의 목숨은 없는거야. 선생님 제발 한번만 바주십시오. 빨리 안움직여? 동생 얼굴 보기가 싫은가 보지? 제발. 이렇게 부탁드립니다. 동생을 살려주세요. 누거 들으면 내가 동생을 죽이러 온거라고 생각하겠네. 난 니가 그년을 찌르기만 하면 돌아갈꺼라고. 크흑. 알겠습니다. 그럼 시간을 조금만 주십시오. 이틀이면 충분하겠지? 알겠습니다. 그러니 제발 동생을 살려주세요. 일처리만 깔끔하다면야. 감사합니다. 감서합니다.,no
1,어서오세요 손님. 5500원 나왔습니다. 지금금고빨리열어서 가진돈 다꺼내. 예?손님이러시면안됩니다 배에칼맞기싫으면 빨리꺼내 사장님이 금고잘지키라고했는데. 사장님이고뭐고 너진짜칼맞기싫으면 금고에든돈 다꺼내 오늘매출이좋지않아서. 조금들어있는돈이라도다 꺼내놔 안꺼내면 진짜찌른다 얼마나꺼낼까요. 모조리다꺼내 좋은말할때.,no
2,대리님 아파트 샀어요? 네 오 부자네. 회사는 취미로 다니는 거였어요? 아니에요 집은 은행꺼죠 차도 좋은 거 타고 다니지 않아요? 아 부모님이랑 같이 타는 차에요. 그래도 부자네 왠지 맨날 칼퇴하고 여유롭더라 할 일은 잘 하고 있는데요 일 열심히 안해도 되고 너무 좋겠다 하,no
0,사람은 한 쪽 신장이 없어도 살 수 있다던데 갑자기 그 얘기는 왜 하는거야? 아니 신장 하나 없어도 살 수 있다고 하면 굳이 두개가 필요한가 해서 지금 나한테 하는 말이야? 어차피 사정이 이렇게 된 거 니가 하나 떼서 돈이라도 벌어오면 좋잖아? 내가 왜 누구를 위해서 그래야 하는건데? 누구를 위해서라고 한다면 음. 쉽게 설명해줘? 니 모든 정보다 우리가 갖고 있는거 알지? 그게 뭐가 중요한데 그럼 이제 막 걷기 시작한 니 새끼가 어디에 있는지도 다 알고 있다는 거겠지? 뭐? 우리 애한테는 손대지마. 제발 내가 어떻게 해서든 돈 구해올게. 너무 오래 기다려줬어. 그러니까 그냥 쉽게 가자. 잠깐만 자고 일어나면 다 끝나 있을거야. 이거 놔 싫어 지금 뭐하는 거야!,no
2,강대리 진짜 재수없네? 왜 꼬박꼬박 말대꾸에 사람을 그따위로 쳐다봐? 그니까 딴 동기들은 다 착한데 강대리만 참 사람이 못났어 하. 왜 한숨 쉬어? 야 너 싫어하는 동기가 한둘이 아니야 재수없는 놈아 혼자 잘난척만 하고 진짜 맞아맞아. 입사할때부터 싫었어 넌 내가 뭘 그리 잘못했는데. 넌 태어난 거 부터가 잘못이야 아 진짜 웃겨! 그니까 그냥 태초부터 잘못된거야넌 이런 재수탱이는 사회에 방생되면 안되는데 끔찍하다 정말 집에나 찌끄러져 있어 그냥,no
2,저기 서인턴 대학교 어디 나왔다고 했지? 저 한국대학교 경제학과 나왔습니다. 아 그럼 잘 됐네. 내 아들이 이번년도에 수능을 보는데 한국대 법학과 희망하고 있어. 매주 세 번 집에와서 과외 좀 부탁하네. 아 제가 졸업한지 꽤 됐고 그리고 저때랑 다르게 입시가 많이 바뀌어서 별 도움 안될거예요. 그래서 안 해준다는건가? 그건 아니고 해드리기는 할건데. 음 제가 다른 친구들 과외할 때는 1시간에 삼만원씩 받았는데 대리님 아들분이시니 1시간에 만원만 받을게요. 돈을 받아야 과외를 해준다는건가? 우리사이에 그러기가 어딨나. 그 설명하는 게 뭐 힘든 일도 아니고. 내가 회사에서 많이 예뻐해줄게 저도 원래 회사 끝나고 과외다니는데 시간 빼고 가는거라. 그리고 다른 곳에서 만원내고 못 배워요. 회사에서 불이익 받고 싶나? 내 아들 무료로 해주면 뭐 어떻다고 그러나 그냥 딱 세 달만 해주면 돼. 세달 매주 세 번이면 적어도36번입니다. 근데 그걸 무일푼으로 하라고요.? 야 돈 밝히지 마. 왜 이렇게 돈을 밝혀 별것도 아닌거 가지고. 우리 애가 대학 잘 갈까봐 자격지심 느껴서 그러는거야? 그럴 일 없고요. 그냥 못들은 걸로 할게요. 하여튼 돈에 맛 들려서 이러니까 젊은것들한테는 돈을 쥐어주면 안된다는거야. 뭣 모르고 자기가 대단한 줄 착각하잖아.,no
4,시간이 좀 바뀌면 어떨까? 나중에 좀 더 적합한 시간으로 잡아볼까. 그럼 오늘 저녁에 다시 한번 확인해보자. 혹시 다른 시간도 생각해본 적 있니? 그렇다면 우리가 함께 생각해보는 것도 좋을 것 같아. 그럼 그렇게 해보자.,topic
3,너 치마 샀어? 응응 이쁘지 응 치마는 이쁘긴한데 뭐랄까 종아리 알 때문에 좀 별로야 나는 너처럼 종아리 알 심하면 치마 안입을텐데 넌 그냥 치마보다 바지 입은게 나은거같아 아 . 그래 ? 나 알 많이 심해 .? 응 좀? 너가 뭐 맘에든다면 어쩔수없는데 나 같으면 절대 안입었을거야 아 응 .,no
0,위층이 너무 시끄러워서 왔어요 저희가 시끄러웠다고요? 난 시끄럽게한적없은대 네 오늘이 처음도 아니고 계속 시끄러워서 참다참다가 왔어요 우리가 시끄럽게하면 얼마나 시끄럽다고 저희집까지 찾오셨을까 참을성이 없나보네 저희도 참을만큼 참았죠 근데 정도가 심해지시니까 찾아온거에요 뭐?! 너 지금 말다했어?! 어디다 대고 반말이야 응말다했다 너 일로와 내가 어떤사람인줄알고 당신이 뭐어떤사람인데 하 이런 싸가지없는사람을 봤나 죽고싶어?!??,no
2,이대리 이거 실수하는거야. 내가 사람을 잘못봤었나? 부장님. 그래도. 그 프로젝트 제가 한 일인데. 부장님의 공으로 돌리신다뇨. 이대리도 알다시피 이거 다 겪어오는 흔한 일이자나. 나도 겪어왔고 니 위도 다 겪어왔어. 그래도. 저는 이거는 좀 아닌 것 같습니다. 저 이 프로젝트에 사활을 걸었었습니다. 제 자식과 같은 거라구요. 이대리. 그래서 어쩌라는건가. 이미 프로젝트는 내 이름으로 올라갔고 뭐 이제와서 사장님이라도 찾아가서 자기가 했다고 말할텐가? 자네가? 그건. 다시 말하지만 난 자네가 뭐라한들 번복할 생각 없네. 잘 생각해. 칼 빼들 생각이면 칼 맞을 각오도 하라고. 무슨 말인지 똑똑한 이대리는 알지? 그런. 제발요. 부장님. 더 할말 없을거 같은데 그만 가게. 이 업계 쫍은거 알지? 이 회사 쫒겨나기라도 하면 소문 다 나서 아주 큰일이 날거야 알지? 그만 알았으면 돌아가. 일 마저 해야지. 윽. 네. 알겠습니다. 그래 그래. 이대리. 아주 똑똑해. 내가 참 아껴. 내가 아끼는거 알지? 잘 생각했어 아주.,no
1,친구야 돈 있나 혹시? 아니 없는데? 에이 친한친구끼리 왜그래? 너 저번에 빌려간거나 갚아 벌써 한달째 안주고 있잖아 내가 언제 돈을 빌렸지?너네 기억나? 아니 뭔소리야 그게? 너네 지금 이게 삥뜯는거야. 야 말이 심하다 빌려줄거면 좋게 빌려주던가 또 손 올라가게하지? 아. 아니 쫄았니?쫄았어?,no
4,아니 요즘 너무 바빠요. 베이킹도 해보고 요리도 해볼까? 저도 최근에 새로운 레시피를 찾아봤는데요. 마침 그게 완성돼서 맛있게 먹을 수 있을 것 같아요. 우리 같이 요리책을 구경해서 어떤 레시피를 해볼까? 그럼요 어떤 레시피가 있으면 같이 봐죠. 그때 그때 알려줄게요!,topic
0,제발 이러지마. 나도 그러고 싶지 않았어.!! 입 닥쳐 !! 너가 죽인 거야.!! 제발 !! 나도 그럴려고 그런거 아니야.!! 실수. 그래 실수야. . 엎어진 물을 주워담을 수 있을 것 같아.?? 잘못했어. 너가 시키는 대로 다 할께!! 자수하라면 자수할 테니깐 제발. 그래.? 시키는 대로 다한다는 거지?? 그. 그래.!! 다할께.!! 이거 니 머리에 쏴 어. 어.?? 쏘라고 당장!!!!!,no
4,오늘 어디 왔는지 잘 모르겠는데 여기서 만나서 정말 뿌듯하네. 이곳 너희들만의 곳 같아 좋아 저도 같이 가고 싶어. 그래서 이제부터 이곳에 머물게. 좋은 하루 보내세요!,topic
3,얘들아 쟤 봐바 왜왜? 뭔데? 눈깔 장애 학교 도착!! 그런말 하지마 그런말 하지마 계속 하면 어쩔건데 하지마라니까 눈깔 장애를 눈깔 장애라고 하지. 그럼 뭐라고 하냐 나도 내 이름 있다고 싫은데 메롱 메롱 눈깔 장애 하지마,no
2,식사는? 이대리도 같이 가려고? 네 저도요 할일은 다했고? 아직요 할일도 아직 안끝냈는데 밥생각은 나시고? 그러니 일을 그따위로밖에 못하지 잘못했습니다 더이상 말섞기도 싫으니까 어떻게 하는게 나을지 생각을 해 네 일마저 다 하겠습니다 당연한 얘길 꼭 이렇게 해야 알아듣지 쯧쯧.,no
3,내가 쟤랑 왜 같은 조냐고 야 좀 참아 어차피 쟤가 다 해줄걸? 그런가? 하긴. 이거 조사해야 하는데 금요일까지 해줄 수 있어? 내가? 이걸 왜 하는데 우리 같은 조니깐 해야지. 너랑 같은 조인 것도 빡치는데 내가 이것도 하라고? 이거 수행평가잖아. 그래서 나보고 하라고? 어? 하라고? 아니야 내가 할 게 미안해.,no
2,출산일이 언제라고? 과장님 3달 남았어요 복직은 언제 할건데? 네? 출산휴가 3개월 쉬고. 세상 좋아졌다 우리땐 한달이었는데! . 죄송합니다 설마 육아휴직도 쓴다는건 아니지? . 생각중입니다 자기 쉬는만큼 우리가 힘들어진다는것만 알아둬 네. 명심하겠습니다,no
3,우와 00아 너 이번에 올라온 사진 정말 예쁘더라. 아 응 고마워! 그래서 그 사진 보고 너가 입은 옷이랑 립스틱 따라 사고 싶은데 어디 제품인지 알려줄 수 있을까 ? 나 정말 너 좋아해서 따라하고 사진 찍고 싶어. 어. 00 여기 제품이야. 우와 봤는데 너무 비싼 것 같아. 어차피 사진 한 번만 찍을 껀데 둘 다 빌려주면 안될까? 아 그래. 빌려줄게. 그러면 빌려주는 김에 전전 피드에 올린 옷도 같이 빌려줘! 아 그거는 내가 사촌언니 이미 빌려줘서 못 빌려줄 것 같아. 그래? 근데 나 진짜 너무 궁금한데 언니한테 얼른 다시 받아서 빌려주면 안될까? 너 엄청 착하잖아. 믿어도 되는거지?! 알겠어.,no
3,저기요. 국이 식었잖아요. 다시 해 주세요. 죄송합니다 손님. 다시 데워다 드려도 괜찮을까요? 누가 다시 데워 달래? 다시 해 줘. 그러면 요금을 또 내주셔야 합니다. 너 내가 누군지 몰라서 그러는거 같은데. 나 파워블로거야. 너네 가게 망하는 꼴 보고싶어? 손님 여기서 이러시면 안됩니다. 좋은 말로 할 때 다시 해와. 그건 조금 힘들 것 같습니다. 뭐 이런데가 다 있어? 너네 사장 데려와 예 알겠습니다.,no
2,보미씨 혹시 이번주말에 시간있어? 저요!? 혹시 무슨일. 때문에. 보시다시피 내가 패션에 영 센스가 없잖아. 같이 쇼핑좀 해줄수 있지? 아. 저 이번주말에 좀 바쁠것 같아요. 보미씨 남자친구도 없잖아 주말에 무슨 약속있어? 네. 약속있어요. 나 이번에 출장가는데. 마땅한 정장이 없어서 그래. 혹시 승진하기 싫은거 아니지? 상사님 쇼핑과 승진이 무슨 관계죠? 아이고 보미씨. 사회생활 안해봤나? 이게 무슨말인지 이해를 못하나? 상사님. 아무리 생각해도 이건 너무 무례한 부탁인거 같네요. 죄송합니다.,no
3,야. 너 시간 좀 있냐? 나 지금 바쁜데. 왜? 가서 빵 좀 사와. 갑자기? 아 배고프니까 빵 사오라고. 네가 가면 되잖아. 말이 많네. 사오라면 사와. 크림빵으로 부탁해? 나 바빠. 1분 내로 갔다와. 나 배고프다고. 네가 가면 되잖아.,no
3,아저씨 자리 좀 비켜주시겠어요? 응.? 뭐때문에 그러는건지 알려줄수있니 아저씨 꼴 좀 보세요 그게 무슨말이야 노숙자마냥 꾀죄죄하고 냄새나요 아 . 미안하네 미안하면 저희 가게 찾아오지마세요 아. 저희 가게 망하면 책임지실거에요? 그럴 능력없으시면 좀 오지마세요 아. 알겠네,no
2,지현씨 나 소개팅 좀 시켜줘봐 네? 저 주변에 아는 사람이 없어서요 아 상사라 불편하다 이거야? 아님 나이가 너무 많아서 지현씨 또래 어린 남자는 안되겠어? 아뇨 그게 아니라 괜찮은 사람이 없어요 지현씨는 매주 주말 남자친구 만나느라 바쁘잖아 너무한다 이기적이네 네? 저 매주 못 만나요 차장님 자기는 데이트하고 남은 신경도 안 쓰고. 지현씨가 회사에 친구 없는 이유를 알겠다 네? 회사는 일하러 오는 곳인데 왜 제가 친구를 사겨야 하나요.? 지금 말대꾸하는 거야? 지현씨 회사에서 소문 얼마나 안 좋은지 알아? 자꾸 이러면 내가 인사고과 잘 줄 수 없어 알아? 알겠습니다 찾아보겠습니다,no
1,학생회비로 3만원씩 000으러 입금해주세요 보냈습니다. 저도 보냈습니다. 이건 어디에 쓰이는 학생회비죠 ? 두달 전에도 학생회비 냈던 기억이 있는데 아하 전에 학생회비 걷은 것이 부족해서요. 올 말에 선배님들 졸업 선물에 쓰일 예정입니다. 정확한 예산안을 보고 싶습니다. 두달 동안 6만원은 너무 많은 돈 같습니다. 저 . 그게 . 저희가 장부를 정리 하는대로 보내드리겠습니다. 네 ?? 미리미리 예산을 정하고 학생회비를 걷은 것 아닙니까 ?? 이상하네요. 오늘안으로 보내주시고 이상 있으면 학교 측으로 신고하겠습니다. 네 . 잠시만 기다려주세요 .,no
2,그래 아직 인턴이랬지? 네. 아이디어가 아주 좋네. 다음 회의 때 발표해도 되겠어. 정말요? 감사합니다. 근데 아직 인턴이면 발표를 직접 하긴 좀 그런데. 네? 아무래도 이게 전달이 잘 돼야 할 아이디어거든. 네. 그러니까 직접 발표는 좀 더 숙련이 되면 하고. 이번엔 일단 내가 발표하는 걸로 하지. 하지만 제 아이디어인데. 응 알지. 다 알지. 나중에 이게 통과가 되면 그때부터 참여하는 걸로 하고. 대신 내가 인턴 점수는 아주 제대로 매겨 줄게. .,no
3,네가 그럼 그렇지. 하긴 뭘하냐 개뿔 나는 이렇게 될 줄 알았니 맨날 말만 번지르르 실수라니까 됐어. 됐어 미안해 보기 싫으니까 저리가 일부러 못한거 아냐. 그만 짓거려라. 더 열받으니까. 어.,no
1,아니 직원들 월급을 그렇게 많이 가져가시면. 자네 불만있으면 나가시게 그럼 노력의 대가를 정당하게 다 받고 나가겠습니다. 싫다면 아니 사장님!! 원래 절이 싫으면 중이 떠나는 거야 사장님 여긴 절이 아니라 직장이 잖아요 그래서 뺏어간 돈 저희 것이기도 해요 애초에 내 회사 아니었다면 그 돈도 못만들었어 경호팀 이 자식들 끌어내,no
4,문자 보내기 통화 선택 주제로 6줄의 한국어 대화문 아니 이번에 전화 좀 좀 해봐. 그럼 문자 보내면 더 편하지 않을까? 정말 필요하면 통화해도 될 것 같아. 그럼 내가 전화로 연락할게.,topic
0,죽고싶냐 누구세요 알필요 없어 왜이러세요 지금 내 기분이 몹시 안좋아서 누구하나 아작 내고 싶어 재수 없게 걸렸다 생각해 맙소사 그런 말도 안되는 이유로. 말이 되니 입에서 나오지 헛소리 말아요 신고할거에요 신고하기 전에 니가 죽을걸 저리비켜요 죽을 목숨이 말이 많다,no
0,지금 내 말이 우스운가봐? 이런 짓을 하는 걸 보면? 죄송합니다. 아니 내가 우스우니까 나 어깨로 치고 깔깔대며 웃으며 지나가는거 아니니? 아니요. 죄송합니다. 나 너네 윗집에 살거든. 매번 시끄럽게 말이야. 진짜 내가 만만하니? 아니요. 한 번 더 이딴 식으로 내 눈에 띄면 진짜 나 칼 들고 너네 집에 간다. 다시는 안 그러겠습니다. 이번만 봐줄게. 그냥 집에서 쥐 죽은 듯 살라고 안 그럼 아주 칼부림 나서 너 죽고 다 죽일거야. 죄송합니다.,no
2,점심시간이네요. 밥 먹으러 갑시다. 오늘은 국밥 먹을까? 뭐가 오늘은이야. 매일 국밥이면서. 저는 국밥 좋습니다. 아 미안. 오늘 우리끼리 중요하게 할 얘기가 있어서 씨는 같이 못 가겠네. 오늘. 도요? 뭐가 오늘도요야. 저번에 같이 밥 먹은 적 있잖아. 그건 한 달 전. 한달이나 우리끼리 중요하게 할 말이 있어서 어쩔수가 없네. 우리 갈게. 씨 혼자 점심 먹고 와.,no
3,우와 무슨 일로 이렇게 짧은 치마를 ? 오늘 신경 쓰고 나오래서. 한 번 입어봤어 괜찮아? 예쁘네 ! 근데 속바지 입었어? 야! 넌 그런 걸 확인한다고 밖에서 치마를 들면 어떡해!! 아 맞다 미안. 내가 실수했네 지금 그게 미안하다고 될 일이야? 이렇게 사람 많은데에서. 너 진짜 너무하다. 뭐 어때? 속바지도 입었구만 왜 이렇게 까칠하게 굴어? 아니 지금 내가 속바지를 입었으니까 니 행동이 괜찮다는 거야? 야 착각하지마. 어차피 너 다 내놓고 다닌다고 사람들이 너한테 관심이나 주는 줄 알아? 사람들이 관심을 주고 안주고의 문제가 아니잖아. 너가 내 치마를 밖에서 걷어 올리는 행동이 잘된거냐고!,no
3,민서야 어? 너 되게 불편해보여 응?? 옷이 너무 끼는것같아 숨쉬기 안불편해? 왜그래. 아니 친구로서 니가 옷이 불편해보여서 걱정하는거야 나는 괜찮아. 내가 안괜찮아보이는데 너 보는 것만으로도 불편하다 애 살좀빼 . 그러지마.,no
4,결혼을 준비하면서 어떤 부분을 신경 쓰는지요? 처음에는 결혼식 장소를 고르는 게 큰 결정이라고 생각했어요. 그러나 이제는 친구들의 추천을 많이 듣고 있었죠. 결국에는 가족들이 가장 선호한 곳을 선택했어요. 그리고 이제는 결혼식 디자인이 얼마나 중요한지 알게 되었죠. 마지막으로 결혼식 축하 팀을 구성하는 것도 큰 과제였어요.,keyword
2,어이 김대리 예 이부장님 오늘 하라고 했던 서류 정리 다 끝냈어? 아. 그게 아직까지 마무리가 다 안됐습니다 야 지금 시간이 몇신데 그걸 아직까지도 다 못하고 있어? 일처리를 뭐 어떻게 하는거야 곧있으면 퇴근시간인데 뭐 어쩔려고 그래? 죄송합니다. 야근해서라도 마무리 하겠습니다. 그래? 오늘 야근할라고? 그럼 저기 내 책상위에 보이는 서류들도 마저 들고 가서 정리해서 내일까지 나한테 다시 줘 저 부장님. 아무래도 저것까지 하기는 좀 벅찰것같습니다. 벅차? 아. 뭐 회사일이 그렇게 힘들면 쉬어야지 평생 쉬고 내일부터 그냥 나오지마 아닙니다 내일까지 다 해서 드리겠습니다.,no
4,"어서 오셨어요? 오늘 저녁이랑 약속했잖아요? 네, 왔습니다. 하지만 이게 왜 이렇게 늦었나요? 사고에 불편을 겪었던 것 같아요. 요즘도 신경 쓰이는 게 많네요. 어떻게 하셨어요? 그건 나중에 말하겠습니다만, 지금은 안되죠. 여기가 정말 좋았어요. 우리 함께 한잔하고 싶었는데... 맞아요. 그럼 이제는 어떤 식사가 있으실까요? 간식으로 고구마와 바닐라 아이스크림을 드릴래요. . 그리고 여친한테도 잘못된 메일 보냈어요. 너무 미안해요. 아, 그런 거 안 그러면 되겠네요. 다시 전달해 드려도 될까요? 할 수 있습니다. 제가 도와드리겠습니다. 감사합니다. 저는 생각한대로 전달하면 돼요. 그럼 잘 주무시길 바랍니다.",keyword with persona
3,야 너 할머니랑 산다며? 어. 응 왜 엄마아빠는 어디갔어? 어 돈벌러 가셨대 할머니가 그러셔? 응 그거 거짓말아니야?너랑 살기 싫어서 너 두고 간거아니야?? 그런거아니야 그럼 왜 엄마아빠가 너 보러 안와?? 아니야. 그런거. 사정이 있다했어 다 말은 그렇게 하겠지,no
